,contraindication,indication,off-label use
AUPRC,0.044586178056490414,0.028845417534579976,0.021863309633380547
AUROC,0.6221030042618442,0.7318840458982957,0.588156813051899
Recall@1%,0.003305785123966942,0.008333333333333333,0.0
Recall@5%,0.02808062067802327,0.1029040404040404,0.0
Recall@10%,0.12142688480350819,0.34507575757575754,0.26666666666666666
Recall@10,0.003305785123966942,0.0,0.0
Recall@50,0.02808062067802327,0.08832070707070708,0.26666666666666666
Recall@100,0.08587620172035756,0.1029040404040404,0.29166666666666663
MRR@10,0.06666666666666667,0.0,0.0
MRR@50,0.08174603174603175,0.02747905888149791,0.012545454545454545
MRR@100,0.08174603174603175,0.029979058881497905,0.015045454545454546
AP@10,0.07333333333333333,0.0,0.0
AP@50,0.06122413096326139,0.030887428289867312,0.012545454545454545
AP@100,0.05881218794259439,0.0335138111662502,0.015045454545454546
Enrichment@1%,0.34793388429752065,0.8337962962962961,0.0
Enrichment@5%,0.5629495859737047,2.05922418630752,0.0
Enrichment@10%,1.2171599643399271,3.452674663299663,2.683333333333333
F1,0.0,0.0,0.0
Accuracy,0.9676959619952493,0.9880066629650195,0.9892339544513458
Sensitivity,0.0,0.0,0.0
Specificity,1.0,1.0,1.0
# of Pos,40.8,21.6,5.2
