,contraindication,indication,off-label use
AUPRC,0.21894132592709337,0.11760968768801987,0.1345993126650188
AUROC,0.7485568839191368,0.8349347834438051,0.842057281892677
Recall@1%,0.12844028010964378,0.20887582002649466,0.0907142857142857
Recall@5%,0.31559041785999764,0.4496080708266527,0.3457142857142857
Recall@10%,0.43988287709071383,0.5697357256776078,0.5435714285714285
Recall@10,0.11618466263408848,0.17221699395612441,0.22142857142857142
Recall@50,0.28021588508094264,0.35598857444633086,0.5614285714285714
Recall@100,0.4063894739415486,0.45868455297858246,0.7528571428571429
MRR@10,0.2716784244562022,0.14397546897546898,0.12368480725623583
MRR@50,0.27962440292234697,0.1544719615348233,0.13881664405235422
MRR@100,0.2812813806187512,0.15558230343463889,0.14047317219533575
AP@10,0.2608432947939121,0.147816687280973,0.12743812763200518
AP@50,0.26258592247411366,0.14352008654728987,0.13446778094417633
AP@100,0.2538904748988022,0.1368820402217591,0.13597260860115548
Enrichment@1%,13.8084686745609,25.49301671205466,17.526502643497718
Enrichment@5%,6.595591116468179,9.295659770613392,6.90296037585172
Enrichment@10%,4.450885292651663,5.642255996593878,5.283126610243995
F1,0.14314237312454653,0.052801996263150734,0.07829434034722849
Accuracy,0.9025541772968535,0.9352632375952754,0.9073646850044366
Sensitivity,0.4139673098143228,0.4717641616336386,0.4971428571428571
Specificity,0.9171454098253162,0.9372997930631886,0.9094089283979935
# of Pos,32.01851851851852,7.5,3.3142857142857145
