relation,variant,deg_bin,mean_auprc,mean_sd_across_seeds,n_diseases
contraindication,fuse_rankavg,"(-0.001, 3.0]",0.018334329109000565,0.00544094209594438,29
contraindication,fuse_rankavg,"(3.0, 8.0]",0.03433024061063013,0.007897548236905961,18
contraindication,fuse_rankavg,"(8.0, 28.0]",0.0921738380556054,0.02347935104013391,20
contraindication,fuse_rankavg,"(28.0, 216.0]",0.1533485179543078,0.02059879214222721,14
contraindication,p_A,"(-0.001, 3.0]",0.031351150618316774,0.008958803130825355,29
contraindication,p_A,"(3.0, 8.0]",0.03929193343821407,0.009220662878946012,18
contraindication,p_A,"(8.0, 28.0]",0.16261162725199804,0.02617313597719411,20
contraindication,p_A,"(28.0, 216.0]",0.21442345454717188,0.014674481597448252,14
contraindication,p_B,"(-0.001, 3.0]",0.013852820909593581,0.0055346721891214035,29
contraindication,p_B,"(3.0, 8.0]",0.024847823092800186,0.005049706048174624,18
contraindication,p_B,"(8.0, 28.0]",0.05376940961539452,0.014153639831653343,20
contraindication,p_B,"(28.0, 216.0]",0.08380929395485302,0.007297178351452308,14
indication,fuse_rankavg,"(-0.001, 3.0]",0.0063115032539116725,0.005109643862695839,8
indication,fuse_rankavg,"(3.0, 8.0]",0.008983241982248917,0.005486480325232186,10
indication,fuse_rankavg,"(8.0, 28.0]",0.019438952409395825,0.008381776335551157,9
indication,fuse_rankavg,"(28.0, 216.0]",0.06470331159572014,0.0388708635133722,14
indication,p_A,"(-0.001, 3.0]",0.006519980656063943,0.0020477731573346055,8
indication,p_A,"(3.0, 8.0]",0.02613327683920453,0.02466733028602459,10
indication,p_A,"(8.0, 28.0]",0.015870994017832978,0.005412837705211965,9
indication,p_A,"(28.0, 216.0]",0.07432062116941472,0.03983577631328099,14
indication,p_B,"(-0.001, 3.0]",0.003085715663540154,0.0013246175974394978,8
indication,p_B,"(3.0, 8.0]",0.004471875272606176,0.0022860195784098303,10
indication,p_B,"(8.0, 28.0]",0.008841096221410416,0.002410414913992791,9
indication,p_B,"(28.0, 216.0]",0.022411554784009975,0.015416776677159261,14
off-label use,fuse_rankavg,"(-0.001, 3.0]",0.025827039880900477,0.012170048458160882,8
off-label use,fuse_rankavg,"(3.0, 8.0]",0.05239309773967816,0.030402297009838992,4
off-label use,fuse_rankavg,"(8.0, 28.0]",0.05510873087255954,0.029720481755194695,7
off-label use,fuse_rankavg,"(28.0, 216.0]",0.055222274137904794,0.032835735582843945,9
off-label use,p_A,"(-0.001, 3.0]",0.02939047576365613,0.018065301294489022,8
off-label use,p_A,"(3.0, 8.0]",0.062049310061473,0.026692447598493596,4
off-label use,p_A,"(8.0, 28.0]",0.1811279250387269,0.07791076243697852,7
off-label use,p_A,"(28.0, 216.0]",0.07325758361863204,0.032577896251565895,9
off-label use,p_B,"(-0.001, 3.0]",0.009153215092906602,0.0027190086271439056,8
off-label use,p_B,"(3.0, 8.0]",0.015057890742451025,0.003969785533823917,4
off-label use,p_B,"(8.0, 28.0]",0.01403074275699373,0.004580687449367586,7
off-label use,p_B,"(28.0, 216.0]",0.025528844863085334,0.010246988530724886,9
