,contraindication,indication,off-label use
AUPRC,0.11767569677800753,0.16573648275671857,0.15276516365772416
AUROC,0.7590992484719971,0.8859601102479114,0.7946488438745622
Recall@1%,0.1010683240606677,0.296409420735148,0.1
Recall@5%,0.30797636545499696,0.5525096305050762,0.2962148962148962
Recall@10%,0.4153612145253228,0.7335444568160435,0.47647537647537647
Recall@10,0.09826786657423905,0.16468982348430625,0.1915954415954416
Recall@50,0.2702565829176823,0.41719883430377513,0.5072446072446072
Recall@100,0.39151156005345555,0.5698909969929353,0.7213675213675214
MRR@10,0.17994908655286015,0.22594396344396345,0.13382173382173382
MRR@50,0.18874562843694248,0.23534207507023902,0.14927238918608302
MRR@100,0.19009228704224077,0.23686120157630391,0.15178019667193693
AP@10,0.1602923779574723,0.23167396995273978,0.13722018722018722
AP@50,0.14303499197808545,0.1992239517728333,0.1492842964727197
AP@100,0.13304466108563234,0.1877508188729328,0.15290810130530522
Enrichment@1%,11.770849557721261,33.818228449819784,12.900696324609365
Enrichment@5%,6.031505795600134,11.461225046073002,5.675750053040968
Enrichment@10%,4.182703754939866,7.327700713699457,4.827999525599853
F1,0.06235916219909977,0.08689955174578194,0.07015801465150953
Accuracy,0.9278148762305978,0.9435330540272241,0.8991346817433774
Sensitivity,0.3574592493580693,0.5931260185107812,0.5397232397232398
Specificity,0.9340165056742412,0.9453948904785884,0.9016460166182734
# of Pos,13.377358490566039,8.212121212121213,3.3076923076923075
