,contraindication,indication,off-label use
# of Pos,20.627 ± 4.8974,6.9326 ± 1.1932,3.5697 ± 0.2813
AP@10,0.2415 ± 0.0356,0.1859 ± 0.0417,0.2127 ± 0.0228
AP@100,0.2101 ± 0.035,0.162 ± 0.0287,0.1994 ± 0.0176
AP@50,0.217 ± 0.0365,0.1711 ± 0.0337,0.2016 ± 0.0188
AUPRC,0.1832 ± 0.0323,0.1467 ± 0.0208,0.1964 ± 0.0171
AUROC,0.7723 ± 0.0264,0.8797 ± 0.0223,0.847 ± 0.0268
Accuracy,0.9035 ± 0.0084,0.9272 ± 0.0098,0.899 ± 0.012
Enrichment@1%,18.448 ± 3.8757,33.7291 ± 5.0438,16.1681 ± 2.1359
Enrichment@10%,4.6271 ± 0.4857,7.0709 ± 0.5554,6.0692 ± 0.5438
Enrichment@5%,7.1309 ± 0.5932,11.7194 ± 1.4451,9.2035 ± 1.4634
F1,0.1103 ± 0.0225,0.0648 ± 0.0113,0.0916 ± 0.0095
MRR@10,0.2546 ± 0.0363,0.1903 ± 0.0453,0.2226 ± 0.0244
MRR@100,0.2663 ± 0.0352,0.2044 ± 0.0442,0.2382 ± 0.023
MRR@50,0.2649 ± 0.0355,0.2032 ± 0.0446,0.2362 ± 0.0233
Recall@1%,0.1445 ± 0.0202,0.2904 ± 0.0586,0.1274 ± 0.0232
Recall@10,0.1358 ± 0.0197,0.1877 ± 0.0443,0.2551 ± 0.0493
Recall@10%,0.4584 ± 0.0462,0.6988 ± 0.048,0.5986 ± 0.0526
Recall@100,0.4209 ± 0.04,0.5802 ± 0.0568,0.759 ± 0.0461
Recall@5%,0.3563 ± 0.0313,0.5636 ± 0.0642,0.4424 ± 0.0677
Recall@50,0.3225 ± 0.0243,0.47 ± 0.0526,0.6149 ± 0.047
Sensitivity,0.4605 ± 0.0463,0.6411 ± 0.0591,0.6087 ± 0.0476
Specificity,0.9112 ± 0.0084,0.9283 ± 0.01,0.901 ± 0.0125
