,contraindication,indication,off-label use
# of Pos,20.627 ± 4.8974,6.9326 ± 1.1932,3.5697 ± 0.2813
AP@10,0.2455 ± 0.0419,0.1719 ± 0.0493,0.2154 ± 0.026
AP@100,0.211 ± 0.0345,0.155 ± 0.0336,0.1994 ± 0.022
AP@50,0.2253 ± 0.0405,0.163 ± 0.0381,0.2029 ± 0.0248
AUPRC,0.1784 ± 0.0294,0.1422 ± 0.0283,0.1948 ± 0.0204
AUROC,0.7719 ± 0.0207,0.8735 ± 0.0125,0.8368 ± 0.0277
Accuracy,0.9526 ± 0.0071,0.9608 ± 0.0064,0.943 ± 0.0115
Enrichment@1%,20.0321 ± 4.6628,26.7417 ± 5.0762,17.7932 ± 2.1179
Enrichment@10%,4.5551 ± 0.4361,6.8399 ± 0.5491,5.817 ± 0.6225
Enrichment@5%,7.0103 ± 0.637,10.7301 ± 1.2696,9.0245 ± 1.595
F1,0.101 ± 0.0188,0.0735 ± 0.0183,0.0989 ± 0.0186
MRR@10,0.2686 ± 0.0386,0.1768 ± 0.0469,0.2241 ± 0.0235
MRR@100,0.2792 ± 0.038,0.1889 ± 0.0453,0.2399 ± 0.0252
MRR@50,0.2779 ± 0.0386,0.1873 ± 0.0454,0.2379 ± 0.0258
Recall@1%,0.1617 ± 0.0285,0.2337 ± 0.0595,0.1364 ± 0.0172
Recall@10,0.1501 ± 0.0206,0.1736 ± 0.0536,0.2468 ± 0.03
Recall@10%,0.4497 ± 0.0412,0.6765 ± 0.0512,0.5723 ± 0.0595
Recall@100,0.4079 ± 0.0417,0.5388 ± 0.0533,0.7413 ± 0.0473
Recall@5%,0.3494 ± 0.0316,0.5147 ± 0.0544,0.4357 ± 0.0678
Recall@50,0.3086 ± 0.0353,0.3954 ± 0.0339,0.5751 ± 0.0578
Sensitivity,0.3021 ± 0.0292,0.4497 ± 0.0567,0.4412 ± 0.0514
Specificity,0.9646 ± 0.0071,0.9627 ± 0.0064,0.9465 ± 0.0118
