,contraindication,indication,off-label use
# of Pos,20.627 ± 4.8974,6.9326 ± 1.1932,3.5697 ± 0.2813
AP@10,0.2294 ± 0.0426,0.1574 ± 0.0509,0.211 ± 0.0473
AP@100,0.1938 ± 0.037,0.1402 ± 0.037,0.195 ± 0.0297
AP@50,0.2057 ± 0.0388,0.1474 ± 0.0409,0.1978 ± 0.0335
AUPRC,0.1631 ± 0.0321,0.1279 ± 0.0321,0.1907 ± 0.0269
AUROC,0.7643 ± 0.0202,0.8575 ± 0.023,0.821 ± 0.0288
Accuracy,0.9323 ± 0.0108,0.9466 ± 0.0078,0.9203 ± 0.0179
Enrichment@1%,18.5 ± 4.9093,25.2103 ± 5.1015,18.342 ± 4.3779
Enrichment@10%,4.2854 ± 0.3405,6.5324 ± 0.671,5.7133 ± 0.763
Enrichment@5%,6.326 ± 0.7759,10.0509 ± 1.3835,8.606 ± 1.7012
F1,0.1005 ± 0.0208,0.0649 ± 0.0164,0.0921 ± 0.0135
MRR@10,0.2504 ± 0.0472,0.1623 ± 0.0512,0.2249 ± 0.0578
MRR@100,0.2604 ± 0.0476,0.1741 ± 0.0505,0.2388 ± 0.057
MRR@50,0.2592 ± 0.0479,0.1724 ± 0.0505,0.237 ± 0.0574
Recall@1%,0.1505 ± 0.0331,0.2156 ± 0.0591,0.133 ± 0.0269
Recall@10,0.1381 ± 0.0277,0.1443 ± 0.0362,0.2524 ± 0.0403
Recall@10%,0.4252 ± 0.0349,0.6436 ± 0.0652,0.5663 ± 0.076
Recall@100,0.383 ± 0.0408,0.5074 ± 0.0611,0.7188 ± 0.0526
Recall@5%,0.3162 ± 0.0338,0.4786 ± 0.0617,0.4263 ± 0.078
Recall@50,0.2878 ± 0.0342,0.3646 ± 0.0544,0.5732 ± 0.0691
Sensitivity,0.3399 ± 0.0135,0.4964 ± 0.0632,0.4946 ± 0.0328
Specificity,0.943 ± 0.0105,0.9485 ± 0.0076,0.9235 ± 0.0178
