,contraindication,indication,off-label use
# of Pos,20.627 ± 4.8974,6.9326 ± 1.1932,3.5697 ± 0.2813
AP@10,0.2458 ± 0.0478,0.1879 ± 0.0457,0.2205 ± 0.0417
AP@100,0.2162 ± 0.0403,0.1676 ± 0.0338,0.2056 ± 0.0342
AP@50,0.2243 ± 0.0434,0.1759 ± 0.0383,0.2097 ± 0.037
AUPRC,0.1906 ± 0.0361,0.1526 ± 0.0269,0.2024 ± 0.0328
AUROC,0.7759 ± 0.0335,0.8815 ± 0.0232,0.8486 ± 0.0287
Accuracy,0.907 ± 0.0112,0.93 ± 0.0089,0.9021 ± 0.0132
Enrichment@1%,19.5578 ± 3.8198,33.6726 ± 5.5931,18.0862 ± 6.0177
Enrichment@10%,4.6511 ± 0.5688,7.1007 ± 0.5794,6.3886 ± 0.6848
Enrichment@5%,7.2872 ± 0.7824,11.8774 ± 1.2871,9.6535 ± 1.7026
F1,0.112 ± 0.0245,0.0678 ± 0.0108,0.0943 ± 0.0146
MRR@10,0.2624 ± 0.0501,0.1906 ± 0.048,0.2237 ± 0.0376
MRR@100,0.2745 ± 0.0492,0.204 ± 0.0463,0.238 ± 0.0364
MRR@50,0.2733 ± 0.0498,0.2027 ± 0.0465,0.2367 ± 0.0371
Recall@1%,0.1568 ± 0.0251,0.2901 ± 0.0567,0.1467 ± 0.0478
Recall@10,0.1427 ± 0.0214,0.1927 ± 0.0477,0.2717 ± 0.0635
Recall@10%,0.4603 ± 0.0537,0.7014 ± 0.0525,0.6288 ± 0.062
Recall@100,0.4245 ± 0.0485,0.5917 ± 0.0622,0.7609 ± 0.0359
Recall@5%,0.3637 ± 0.0396,0.5726 ± 0.0569,0.4628 ± 0.0761
Recall@50,0.3367 ± 0.0386,0.4784 ± 0.0456,0.649 ± 0.059
Sensitivity,0.4546 ± 0.0415,0.6493 ± 0.0545,0.6339 ± 0.0491
Specificity,0.9148 ± 0.0109,0.931 ± 0.009,0.904 ± 0.0135
